Priority,APT,APT_New,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Number of Processors,Customer call back request,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
High,0,0,0,0,0,2,No,Yes,No,3000,No
Very high ,0,0,0,0,0,1,No,Yes,No,NA,No
High,0.91,1,0,0,0,0,No,,Yes,NA,No
High,1,1,0,1,1,3,No,Yes,Yes,NA,No
High,1.16,1,3,1,1,1,No,No,Yes,NA,No
High,1.87,2.5,2,2,3,1,No,No,Yes,5,No
High,2.7,2.5,0,0,0,1,No,,Yes,20,No
High,2.7,2.5,0,1,2,1,No,Yes,No,15,Yes
High,3.79,4,0,3,1,1,No,Yes,Yes,500,No
High,3.91,4,1,1,2,1,No,No,No,1000,No
High,4.21,4,0,2,2,1,No,No,Yes,50,No
High,4.45,4,1,2,3,1,No,Yes,Yes,500,No
High,4.5,4,2,1,2,1,No,No,Yes,NA,No
High,6.96,8,0,4,2,4,No,,Yes,3,No
High,8.375,8,1,5,5,3,No,Yes,Yes,NA,No
High,8.79,8,1,1,2,1,No,No,Yes,250,No
High,8.96,8,0,3,1,1,No,No,Yes,NA,No
High,9.29,10,0,4,1,2,No,No,Yes,NA,No
High,10,10,0,4,1,1,No,No,N/A,NA,No
High,16.375,17,2,5,2,1,No,,Yes,NA,No
High,17.3,17,4,2,0,0,Yes,Yes,N/A,NA,No
High,17.41,17,0,5,2,1,No,No,Yes,NA,No
High,19,20,2,19,0,1,No,No,Yes,300,No
High,19.62,20,2,13,5,1,No,Yes,No,NA,No
High,20,20,1,0,1,1,No,Yes,N/A,20,N/A
Low,30.62,45,0,4,1,3,No,No,Yes,NA,No
High,46.45,45,1,4,2,3,No,Yes,Yes,500,No
High,54.12,45,4,55,2,1,No,No,No,20,No
